12194,943221,56,98
12625,580892,58,97
12409,580659,57,97
12193,566547,56,97
12841,519406,59,97
12191,370599,56,95
12407,370112,57,95
12192,321660,56,96
12840,319242,59,96
11986,230805,55,106
12412,224391,57,100
14353,208729,66,97
12626,203449,58,98
12411,197128,57,99
12410,191676,57,98
11975,187488,55,95
12408,174997,57,96
12202,173600,56,106
12634,171908,58,106
12418,168463,57,106
11976,165965,55,96
12421,153452,57,109
12195,151440,56,99
13929,147273,64,105
12422,136871,57,110
11977,123556,55,97
12623,117197,58,95
11979,113573,55,99
11128,112777,51,112
12205,98349,56,109
11114,93189,51,98
12415,92755,57,103
12406,92202,57,94
11770,92087,54,106
12624,91390,58,96
13057,91030,60,97
11984,88929,55,104
11985,87837,55,105
12843,86017,59,99
12414,85649,57,102
12413,76645,57,101
11982,76211,55,102
11331,72840,52,99
11987,72105,55,107
11978,65836,55,98
11760,64419,54,96
11544,63977,53,96
11981,63420,55,101
11983,61911,55,103
12417,60641,57,105
11547,59308,53,99
11980,59272,55,100
13059,58355,60,99
12416,56069,57,104
14145,55969,65,105
11765,55202,54,101
13275,55035,61,99
12631,54610,58,103
10696,54298,49,112
13284,54027,61,108
12203,53232,56,107
12627,53126,58,99
10912,52646,50,112
13056,52054,60,96
12612,51675,58,84
11340,51491,52,108
11554,50466,53,106
10685,49798,49,101
14136,48314,65,96
10910,47948,50,110
11342,47393,52,110
14352,46543,66,96
11330,45537,52,98
11339,45349,52,107
11115,45345,51,99
12198,44903,56,102
10675,44489,49,91
10467,44488,48,99
12206,44008,56,110
12197,43925,56,101
12190,42845,56,94
13488,42615,62,96
12622,42547,58,94
13487,42149,62,95
11329,42067,52,97
12420,40984,57,108
14362,40486,66,106
13489,40270,62,97
11763,39858,54,99
11988,39556,55,108
11771,39420,54,107
9833,39230,45,113
10694,38988,49,110
11778,38719,54,114
12196,38616,56,100
14567,38490,67,95
12846,38477,59,102
13055,38071,60,95
9810,37883,45,90
11543,37490,53,95
12637,37393,58,109
10691,36669,49,107
10478,36363,48,110
11539,36302,53,91
11761,36243,54,97
11111,36175,51,95
11327,35120,52,95
11553,34833,53,105
9819,34791,45,99
13497,34517,62,105
10682,34156,49,98
11344,33866,52,112
12629,33686,58,101
14351,33610,66,95
11549,33333,53,101
11558,32464,53,110
11335,32340,52,103
11774,32147,54,110
10684,32078,49,100
10683,31675,49,99
12633,31351,58,105
13271,31344,61,95
11328,31201,52,96
11955,30803,55,75
13703,30753,63,95
11548,30586,53,100
11773,30422,54,109
13713,30393,63,105
9053,30306,41,197
13281,30093,61,105
10687,29979,49,103
13490,29970,62,98
12845,29924,59,101
11756,29895,54,92
14137,29493,65,97
10900,29164,50,100
11338,28698,52,106
10895,28531,50,95
11591,28409,53,143
13499,28227,62,107
11764,27865,54,100
11592,27701,53,144
12628,27679,58,100
12630,27489,58,102
10464,27397,48,96
12855,27275,59,111
13060,27231,60,100
11759,27114,54,95
12844,26610,59,100
13069,26602,60,109
12199,26559,56,103
12419,26301,57,107
11550,26281,53,102
10688,26198,49,104
12201,26043,56,105
12842,25922,59,98
11343,25531,52,111
9821,25166,45,101
10471,25140,48,103
12847,24899,59,103
13918,24875,64,94
14161,24695,65,121
10679,24404,49,95
12619,23893,58,91
13282,23702,61,106
11341,23491,52,109
10689,23090,49,105
13054,22961,60,94
11971,22873,55,91
11333,22804,52,101
12638,22696,58,110
12620,22480,58,92
10470,22441,48,102
11345,22417,52,113
12424,22397,57,112
12639,22344,58,111
11107,22305,51,91
9823,22264,45,103
10469,22177,48,101
13921,22143,64,97
12207,22093,56,111
13272,21994,61,96
11336,21823,52,104
11755,21822,54,91
11769,21750,54,105
10262,21687,47,110
14138,21587,65,98
10899,21125,50,99
13928,21114,64,104
12425,21029,57,113
11991,20877,55,111
10472,20798,48,104
9834,20718,45,114
9812,20593,45,92
20369,20441,94,65
13498,20305,62,106
13919,20234,64,95
10026,20223,46,90
10898,20177,50,98
12621,20114,58,93
10251,20105,47,99
10247,19868,47,95
10690,19865,49,106
10651,19367,49,67
9822,19101,45,102
10891,19076,50,91
9268,18753,42,196
10459,18545,48,91
13070,18515,60,110
12423,18469,57,111
13500,18444,62,108
11116,18147,51,100
10901,18056,50,101
9811,17849,45,91
10458,17608,48,90
10466,17455,48,98
10035,17432,46,99
11551,17407,53,103
12849,17397,59,105
10463,17326,48,95
11758,17228,54,94
10242,17227,47,90
11777,17123,54,113
10028,17071,46,92
10686,17049,49,102
12835,17039,59,91
11117,16810,51,101
11757,16697,54,93
11766,16598,54,102
13071,16570,60,111
11555,16480,53,107
9594,16416,44,90
11561,16371,53,113
10911,16255,50,111
11323,16214,52,91
14361,16193,66,105
12188,16089,56,92
10243,16007,47,91
13491,16004,62,99
9820,15927,45,100
11126,15855,51,110
10693,15623,49,109
12632,15445,58,104
13279,15288,61,103
6146,15230,28,98
12613,15221,58,85
13705,15217,63,97
10046,15131,46,110
10253,15123,47,101
11990,15090,55,110
12209,15028,56,113
11993,14844,55,113
11974,14677,55,94
11809,14628,54,145
9609,14573,44,105
12848,14554,59,104
11110,14462,51,94
14379,14443,66,123
16277,14435,75,77
10040,14432,46,104
10907,14348,50,107
12839,14227,59,95
14566,14003,67,94
11113,13995,51,97
12853,13809,59,109
10697,13745,49,113
11122,13703,51,106
10031,13595,46,95
13068,13486,60,108
12189,13450,56,93
14977,13325,69,73
11552,13286,53,104
10905,13240,50,105
10041,13173,46,105
12200,13110,56,104
13715,13084,63,107
12614,13046,58,86
11127,12928,51,111
12395,12887,57,83
13702,12853,63,94
12186,12773,56,90
8733,12722,40,93
13280,12661,61,104
11772,12613,54,108
9824,12586,45,104
10037,12563,46,101
9380,12520,43,92
11337,12499,52,105
34170,12492,158,42
9610,12456,44,106
11112,12294,51,96
11559,12269,53,111
6145,12249,28,97
11546,12026,53,98
