12194	757382
12193	554645
12625	548054
12841	490499
12409	466678
12407	357140
12191	334163
12192	316436
12840	239155
11986	225507
14353	205731
12411	194199
12410	178375
11975	177310
12202	173214
12408	170527
12418	167931
12634	164725
11976	162442
12626	160385
12412	149570
12421	140967
12422	135447
12195	132040
12623	117093
11977	112166
11979	108962
11128	104061
13929	103597
12205	97895
12415	92434
11770	91525
12624	88259
11985	87589
12406	86573
12414	85636
11114	84886
13057	78227
11984	77124
12413	76447
11982	76185
11331	72664
12843	71933
11987	70896
11978	65115
11981	63314
11760	62482
11983	61886
12417	60385
11544	58913
11980	58477
13059	58080
11547	55842
12416	55017
10696	54063
12631	53875
13275	53767
12627	53116
10912	52602
12203	51555
13056	50480
11554	50066
10685	48141
14136	47764
11342	47357
10910	47312
14352	46538
11330	45403
11115	45321
12198	44891
10467	44431
10675	44254
12197	43831
12206	43815
13488	42573
12622	42330
11339	41343
12190	41226
12420	40973
11329	40315
11340	39967
11763	39837
11988	38967
11765	38839
10694	38743
14145	38735
9810	37804
12637	37338
12196	36769
11543	36710
13487	36693
11539	36244
11761	36191
11111	36153
14362	35955
10691	35247
13284	35012
9833	34708
11553	34695
9819	34410
13497	34214
10682	34106
11344	33668
12629	33658
14351	33562
11549	33279
12612	33224
10478	32694
11558	32436
11335	32217
11774	32077
10684	32074
14567	32043
10683	31494
11327	31277
11328	30917
11548	30575
13703	30480
11773	30414
9053	30174
13271	30136
13281	30077
13490	29958
12845	29915
11756	29871
12633	29798
13713	29772
14137	29420
10687	29412
10900	29102
13489	28448
11338	28210
12846	28105
13055	28011
11591	27912
10464	27266
13060	27237
11759	27100
12628	27012
12855	26934
10895	26741
13069	26585
12419	26293
11550	26275
12199	26238
11592	25976
12842	25901
13499	25632
11343	25490
12844	25350
11764	25257
12630	25244
10471	25098
9821	25044
13918	24835
12847	24774
10688	24588
10679	24326
12619	23893
12201	23354
11971	22848
11341	22765
10689	22671
12638	22664
11345	22413
10470	22401
12620	22276
11107	22271
12639	22271
10469	22142
13921	22142
12207	22095
11771	22088
9823	22069
13272	21992
12424	21953
11755	21806
14138	21344
10899	21016
11991	20870
12425	20737
10262	20735
11333	20652
9812	20588
20369	20438
10472	20340
11769	20327
10026	20219
12621	20109
10251	20101
13928	20091
10898	20067
13919	19727
10247	19538
10690	19421
9834	19269
11336	19151
9822	19064
10891	19052
10459	18539
13282	18531
13498	18518
13070	18496
11778	18489
13500	18441
12423	18393
11116	18146
10901	17880
9811	17840
10458	17601
10466	17450
11551	17381
10463	17327
10035	17235
10242	17221
12849	17197
11777	17123
10028	17066
10686	17045
12835	17035
11758	17005
11117	16774
11766	16595
13071	16575
11555	16460
11561	16370
11757	16350
11323	16210
14361	16134
12188	16056
9594	16038
10243	15869
9820	15866
11126	15840
13491	15684
13279	15287
10911	15224
12613	15199
10253	15123
11990	15089
13705	15044
12632	14997
13054	14754
11993	14630
12848	14544
11110	14443
11809	14361
10046	14269
6146	14262
10907	14228
12839	14218
9609	14154
14566	14000
11974	13940
11113	13879
12853	13806
10651	13789
14379	13785
10697	13742
13068	13481
12189	13444
11122	13366
14977	13320
14161	13293
11552	13279
10905	13235
10041	13173
12200	13102
10040	13078
10693	13024
11955	12919
12395	12886
13702	12847
12186	12764
16277	12659
13280	12657
11772	12577
9380	12515
10037	12461
10031	12423
9610	12422
34170	12417
11127	12370
11559	12080
11337	12045
10692	11991
12837	11968
9608	11915
12209	11870
6145	11866
12850	11865
11989	11848
11546	11699
9824	11692
9268	11621
11123	11573
13706	11542
9830	11452
13053	11450
14140	11393
11119	11323
10468	11285
12642	11284
10674	11174
12859	11113
13715	11100
10673	11038
13062	11034
12636	10882
10453	10801
11992	10795
9165	10764
13052	10742
12208	10724
9269	10637
12614	10530
10680	10377
11112	10329
10695	10258
13286	10218
9815	10051
7010	9996
13274	9995
13949	9971
11129	9913
11332	9898
13503	9852
14139	9852
12404	9804
10708	9779
9607	9771
13063	9749
9826	9680
11542	9678
15427	9505
14569	9496
9596	9493
13058	9463
9603	9455
10474	9452
10465	9402
10252	9355
12405	9344
10913	9286
14568	9249
11775	9211
13276	9193
13492	9120
13283	9083
8954	8799
9612	8637
8949	8630
10896	8611
12611	8507
10257	8401
13278	8268
20370	8096
11557	8091
13269	8059
11098	8048
11556	7992
11762	7856
11124	7839
14800	7838
20586	7781
